id,title,lat,lon,street,zip,city,plug,open,parking,network,payment_text,operator,access,electricity_mix,charge_type,payment_mode,payment_RFID,payment_OTHERS,imga,img,info,payment_APP,payment_PLUG-N-CHARGE,times,payment_CREDIT-CARD,payment_DEBIT-CARD
27,Ladestation 27,52.51118400,13.42918500,Holzmarktstr. 44,10243,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
28,Ladestation 28,52.49483900,13.45255600,Puschkinallee 52,12435,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
29,Ladestation 29,52.55014800,13.43356800,Ostseestr. 23,10409,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
30,Ladestation 30,52.46682200,13.33055300,Rheinstr. 46,12159,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
31,Ladestation 31,52.56100500,13.21303300,Rauchstr. 56,13587,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
32,Ladestation 32,52.53147000,13.40938000,Christinenstr. 13,10119,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
33,Ladestation 33,52.43105900,13.53421390,Rudower Chaussee 17,12489,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,QUICKCHARGE,COMBO,1.0,,,,,,,,,
34,Ladestation 34,52.46800300,13.32841900,Bundesallee 87,12161,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
35,Ladestation 35,52.53302210,13.38448770,Caroline-Michaelis-Str. 2,10115,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
36,Ladestation 36,52.46478600,13.36718200,Bessemerstr. 33,12103,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
37,Ladestation 37,52.37049170,13.52718060,Elly-Beinhorn-Ring 2a,12529,Schönefeld,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,QUICKCHARGE,COMBO,1.0,,,,,,,,,
38,Ladestation 38,52.41600600,13.12955600,Golfweg 22,14109,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
39,Ladestation 39,52.53484800,13.20187300,Stabholzgarten 4,13597,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
40,Ladestation 40,52.53795000,13.41283000,Sredzkistr. 2,10435,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
41,Ladestation 41,52.53538200,13.49681100,Landsberger Allee 277,13055,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
42,Ladestation 42,52.41094000,13.26241200,Ladiusstr. 26,14165,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
43,Ladestation 43,52.43730500,13.26185900,Clayallee 328,14169,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
44,Ladestation 44,52.41337500,13.49272900,Groß-Ziethner-Chaussee 33,12355,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
45,Ladestation 45,52.53844000,13.41355800,Schönhauser Allee 36,10435,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
46,Ladestation 46,52.46398500,13.36985700,Alboinstr. 56,12103,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
47,Ladestation 47,52.46049100,13.32457200,Hubertusstr. 14,12163,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
48,Ladestation 48,52.54529000,13.42681000,Kanzowstr. 1,10439,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
49,Ladestation 49,52.45708400,13.52796400,Wilhelminenhofstr. 75,12459,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
50,Ladestation 50,52.46044000,13.32348200,Ahornstr. 32,12163,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
51,Ladestation 51,52.47260000,13.33516700,Lauterstr. 12,12159,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
52,Ladestation 52,52.53465800,13.51059300,Landsberger Allee 364,10365,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
53,Ladestation 53,52.54746200,13.46835800,Indira-Gandhi-Str. 106-109,13053,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
54,Ladestation 54,52.48598700,13.45814200,Kiefholzstr. 50,12059,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
55,Ladestation 55,52.50230400,13.32507000,Kurfürstendamm 31,10829,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
56,Ladestation 56,52.50277800,13.33859800,Nürnberger Str. 13,10789,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
57,Ladestation 57,52.46898600,13.32866900,Handjerystr. 54,12161,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
58,Ladestation 58,52.52346100,13.41322300,Alexanderstr. 2,10178,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
59,Ladestation 59,52.57257100,13.36627900,Emmentaler Str. 122-130,13409,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
60,Ladestation 60,52.52106800,13.32119600,Helmholtzstr. 41,10587,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
61,Ladestation 61,52.54989100,13.38975300,Badstr. 4,13357,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
62,Ladestation 62,52.43509500,13.43496500,Buckower Damm 100,12349,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
63,Ladestation 63,52.47030500,13.37217600,Schöneberger Str. 17,12103,Berlin,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
64,Ladestation 64,53.53940000,9.99140000,Große Reichenstr. 14,20457,Hamburg,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
65,Ladestation 65,53.54786000,9.99560000,Strandkai 1,20457,Hamburg,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
66,Ladestation 66,53.52632000,10.06871000,Andreas-Meyer-Str. 8,22113,Hamburg,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
67,Ladestation 67,53.54047530,9.99713840,Rugenberger Damm 1,21129,Hamburg,0,1.0,,,,Vattenfall Europe Innovation GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
380,Ladestation 380,52.27222720,9.12671210,Hinter dem Graben,31683,Obernkirchen,0,1.0,,,Münzer,Stadtwerke Schaumburg-Lippe GmbH,NOT.SPECIFIED,MIX,QUICKCHARGE,COMBO,,1.0,,,,,,,,
381,Rathaus Barnstorf,52.71010910,8.50648160,Am Markt 4,49406,Barnstorf,0,1.0,2,Ladenetz,,Stadtwerke EVB Huntetal GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,FLATRATE,1.0,,files/upload/ladesaeule/1539694207.jpg,assets/images/d/1539694207-cdb1f58d.jpg,"Typ 2, 2x22 kW",,,,,
382,Verwaltungsgebäude Stadtwerke,52.61227200,8.37462300,Amelogenstr. 1,49356,Diepholz,0,1.0,3,Ladenetz,,Stadtwerke EVB Huntetal GmbH,NOT.SPECIFIED,GREEN.ENERGY,QUICKCHARGE,FLATRATE,1.0,,files/upload/ladesaeule/1539694447.jpg,assets/images/1/1539694447-13856011.jpg,"Chademo
CCS
Typ 2 Dose 22 kW
Typ 2 Stecker 43 kW",,,,,
383,Innenstadt Diepholz,52.60746850,8.37262150,Wellestr. 25,49356,Diepholz,0,1.0,,Ladenetz,,Stadtwerke EVB Huntetal GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,FLATRATE,1.0,,files/upload/ladesaeule/1539694565.jpg,assets/images/3/1539694565-5be0aff3.jpg,"Typ 2, 2x22 kW",,,,,
384,Rathaus Wagenfeld,52.54999504,8.58138779,Pastorenkamp 25,49419,Wagenfeld,0,1.0,,,,Stadtwerke EVB Huntetal GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,FLATRATE,1.0,,,,"Typ 2, 2x22 kW",,,,,
389,Ladestation 389,52.26508900,8.06212600,Hannoversche Str. 6-8,49084,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
390,Ladestation 390,52.29876900,8.06053700,Mönkedieckstr. 14,49088,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
391,Ladestation 391,52.27364300,8.04535900,Kamp 62,49074,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
392,Ladestation 392,52.26419200,8.03665800,Limberger Str. 47,49080,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
393,Ladestation 393,52.27093200,8.04165000,Schlosswall 1,49074,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
394,Ladestation 394,52.26491900,8.00863500,Blumenhaller Weg 155,49078,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,QUICKCHARGE,COMBO,1.0,,,,,,,,,
395,Ladestation 395,52.28803800,8.01863900,Albert-Einstein-Str. 1,49076,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
396,Ladestation 396,52.24725100,8.06476200,Iburger Str. 225,49082,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
397,Ladestation 397,52.26597400,8.05459900,Meller Str. 2-6,49082,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
398,Ladestation 398,52.27266800,8.04474200,Am Ledenhof (Ledenhofgarage) 2,49074,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,,,,,,,,,,
399,Ladestation 399,52.27760400,8.05441600,Alte Poststr. 9,49074,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
400,Ladestation 400,52.27760400,8.05441600,Alte Poststr. 9,49074,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
401,Ladestation 401,52.28094500,8.08299400,Heiligenweg 139,49084,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
402,Ladestation 402,52.28636000,8.03228000,An der Bornau 2,49090,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,,,,,,,,,,
403,Ladestation 403,52.27830900,8.03717400,Natruper Tor Wall 2,49076,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
404,Ladestation 404,52.27760400,8.05441600,Alte Poststr. 9,49074,Osnabrück,0,1.0,,,,Stadtwerke Osnabrück AG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
405,Ladestation 405,51.91022840,10.42458360,Rosentorstr. 24,38640,Goslar,0,1.0,,,vorerst uneingeschränkt kostenlos,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,,1.0,,,,,,,,
406,Ladestation 406,51.73157000,10.61305000,Großparkplatz Wurmbergseilbahn,38700,Braunlage,0,1.0,,,,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
407,Ladestation 407,51.80265000,10.53740000,Großparkplatz Torfhaus,38667,Clausthal-Zellerfeld,0,1.0,,,,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
408,Ladestation 408,51.89092000,10.17308000,Am Markt 2,38723,Seesen,0,1.0,,,autorisierungsfrei,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,,1.0,,,,,,,,
409,Ladestation 409,51.65542000,10.34232000,Sommergasse,37412,Herzberg am Harz,0,1.0,,,,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
410,Ladestation 410,51.72442470,10.24817230,Schwimmbadstr. 1,37520,Osterode am Harz,0,1.0,,,autorisierungsfrei,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,,1.0,,,,,,,,
411,Ladestation 411,51.72899810,10.25273980,Eisensteinstr. 1,37520,Osterode am Harz,0,1.0,,,autorisierungsfrei,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,,1.0,,,,,,,,
412,Ladestation 412,51.73710200,10.23236630,Lasfelder Str. 10,37520,Osterode am Harz,0,1.0,,,während der Öffnungszeiten mit Schlüsselschalter,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,,1.0,,,,,,,,
413,Ladestation 413,51.68531600,10.10113700,Bahnhofstr.,37191,Katlenburg-Lindau,0,1.0,,,,Harz Energie GmbH & Co. KG,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
415,Ladestation 415,53.35387000,10.20850870,An der Kleinbahn 4,21423,Winsen (Luhe),0,1.0,,,,Stadtwerke Winsen (Luhe) GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
416,Ladestation 416,53.35387000,10.20850870,An der Kleinbahn 4,21423,Winsen (Luhe),0,1.0,,,,Stadtwerke Winsen (Luhe) GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
417,Ladestation 417,53.35387000,10.20850870,An der Kleinbahn 4,21423,Winsen (Luhe),0,1.0,,,,Stadtwerke Winsen (Luhe) GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
418,Ladestation 418,53.35387000,10.20850870,An der Kleinbahn 4,21423,Winsen (Luhe),0,1.0,,,,Stadtwerke Winsen (Luhe) GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
419,Ladestation 419,53.35387000,10.20850870,An der Kleinbahn 4,21423,Winsen (Luhe),0,1.0,,,,Stadtwerke Winsen (Luhe) GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,1.0,,,,,,,,,
420,Ladestation 420,53.07776710,8.80632240,Pelzerstr. 40,28195,Bremen,0,1.0,,,,swb Vertrieb Bremen GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,,,,,,,,,,
430,Ladestation 430,53.04983910,8.95772890,Hans-Bredow-Str. 19,28307,Bremen,0,1.0,,,,swb Vertrieb Bremen GmbH,NOT.SPECIFIED,NOT.SPECIFIED,NORMAL,COMBO,,,,,,,,,,
432,Ladestation 432,53.08314766,8.81217117,Bahnhofsplatz 14-15,28195,Bremen,0,1.0,,,,swb Vertrieb Bremen GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,FLATRATE,1.0,,,,,,,,,
437,Ladestation 437,53.07077300,8.83126510,Lübecker Str. 47,28203,Bremen,0,1.0,,,,swb Vertrieb Bremen GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
440,Ladestation 440,53.56004360,8.56520790,Rudloffstr. 148,27568,Bremerhaven,0,1.0,,,,swb Vertrieb Bremen GmbH,NOT.SPECIFIED,GREEN.ENERGY,NORMAL,COMBO,1.0,,,,,,,,,
443,Stadtwerke Ahaus GmbH*6,52.06952301,6.98448668,Hoher Weg 2,48683,Ahaus,0,1.0,,,,Stadtwerke Ahaus GmbH,NOT.SPECIFIED,GREEN.ENERGY,QUICKCHARGE,FREE,,,files/upload/ladesaeule/1531988505.jpg,assets/images/0/1531988505-73f94190.jpg,,1.0,,,,
